ICAO_TYPE_CODE,ICAO_ENGINE_DESC,CO2_COEFF,MASS,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR
SU25,J,3.15,19160.99773,415.3979285,2.108533654,1
SU27,J,3.15,27359.4483,517.6927959,2.837203839,1
SU95,J,3.15,46102.76104,739.7434169,4.877275205,1
SW2,T,3.15,5889.888014,93.72741837,1.055721317,1
SW3,T,3.15,5814.195876,53.66790918,1.122137125,1
SW4,T,3.15,6901.653489,99.65223139,1.140302812,1
T134,J,3.15,48502.79377,747.445549,4.955745231,1
T154,J,3.15,100222.1504,-246.2416153,6.962377707,1
T160,J,3.15,276125,3108.87874,14.89194674,1
T2,J,3.15,6125,252.7433332,0.949907058,1
T204,J,3.15,104661.565,-161.5654986,7.162503199,1
T22M,J,3.15,123245,192.8895954,8.000230565,1
T33,J,3.15,6480,257.1727894,0.981459108,1
T334,J,3.15,46080,739.6703726,4.876531023,1
T37,J,3.15,33000,588.0718856,3.338530499,1
TBM,P,3.1,8000,276.1383484,1.116555205,1
TCAT,P,3.1,9680,297.1002821,1.265871945,1
TIGR,T,3.15,6125,95.10421427,1.075376192,1
TOR,J,3.15,20547.521,432.6980528,2.231766472,1
TPIN,P,3.1,6480,257.1727894,0.981459108,1
TU142,T,3.15,184320,1138.599059,15.97210854,1
TU22,J,3.15,84500,862.9669902,6.13268823,1
TU95,T,3.15,184320,1138.599059,15.97210854,1
U16,P,3.1,14045,351.5638777,1.653828832,1
U2,J,3.15,10125,302.6526991,1.305423105,1
UH1,T,3.15,7620.21978,103.8600948,1.200373464,1
V10,T,3.15,5780,93.08392345,1.046534907,1
V22,T,3.15,23805,198.6367985,2.553387516,1
VC10,J,3.15,147919.3187,663.5204532,9.112530417,1
VF14,J,3.15,21125,439.9034555,2.283092235,1
W3,T,3.15,6480,97.18306423,1.105053455,1
WB57,J,3.15,28880,536.6652387,2.972348971,1
WW24,J,3.15,10580,308.3298895,1.345863056,1
Y12,T,3.15,8405,108.4557014,1.265979462,1
Y130,J,3.15,6499.831664,257.4202358,0.983221726,1
YK40,J,3.15,16337.69823,380.1706564,1.857601584,1
YK42,J,3.15,56625.20428,773.5118099,5.221310678,1
YS11,T,3.15,25205,206.8350801,2.670424612,1
YURO,J,3.15,10125,302.6526991,1.305423105,1
